image_name,accuracy_no_preprocess,accuracy_clahe,delta_pp,mean_abs_clahe_minus_low
Lena,79.589844,79.589844,0.000000,29.253201
Baboon,79.589844,79.589844,0.000000,16.088844
Peppers,79.589844,79.589844,0.000000,23.414707
Sailboat,79.589844,79.589844,0.000000,19.387993
House,79.589844,79.589844,0.000000,26.294369
Airplane,79.589844,79.589844,0.000000,22.645344
Beans,79.589844,79.589844,0.000000,25.529579
Woodland,79.589844,79.589844,0.000000,18.747261
Oakland,79.589844,79.589844,0.000000,17.202763
Splash,79.394531,77.148438,-2.246094,14.439648
MEAN,79.570312,79.345703,-0.224609,
